GISJOIN,YEAR,STUSAB,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,UAA,URA,CD116A,SLDU18A,SLDL18A,VTD,VTDI,ZCTAA,SDELMA,SDSECA,SDUNIA,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,UGA,U7L001,U7L002,U7L003,U7L004,U7L005,U7L006,U7L007,U7L008,U7L009,U7L010,U7L011,U7L012,U7L013,U7L014,U7L015,U7L016,U7L017
"G2500010010100","2020","MA","1400000US25001010100","25001010100","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010100",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","25046216","12765872","101","Census Tract 101","S","+42.0598291","-070.2004073","CT",,3664,3477,3116,197,11,33,0,15,105,187,48,3,10,0,1,36,89
"G2500010010206","2020","MA","1400000US25001010206","25001010206","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010206",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","51240800","18828934","102.06","Census Tract 102.06","S","+41.9226356","-070.0153685","CT",,3566,3489,3234,46,3,35,4,30,137,77,25,0,2,0,0,16,34
"G2500010010208","2020","MA","1400000US25001010208","25001010208","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010208",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","54268861","11461462","102.08","Census Tract 102.08","S","+42.0135566","-070.0641514","CT",,2454,2388,2199,74,3,16,0,16,80,66,23,0,2,0,0,10,31
"G2500010010304","2020","MA","1400000US25001010304","25001010304","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010304",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","18347856","7830614","103.04","Census Tract 103.04","S","+41.8251080","-069.9762027","CT",,2672,2615,2407,89,3,26,0,17,73,57,7,1,0,1,0,12,36
"G2500010010306","2020","MA","1400000US25001010306","25001010306","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010306",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","17828396","1730719","103.06","Census Tract 103.06","S","+41.8593758","-069.9826347","CT",,3080,3008,2777,100,0,15,0,8,108,72,22,0,8,0,0,8,34
"G2500010010400","2020","MA","1400000US25001010400","25001010400","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010400",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","15587042","8476393","104","Census Tract 104","S","+41.7541457","-069.9861243","CT",,3345,3263,3035,66,7,32,0,20,103,82,24,3,0,0,0,19,36
"G2500010010500","2020","MA","1400000US25001010500","25001010500","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010500",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","21096183","13691016","105","Census Tract 105","S","+41.7662035","-069.9414510","CT",,2962,2899,2773,19,6,25,1,14,61,63,8,1,3,0,0,11,40
"G2500010010600","2020","MA","1400000US25001010600","25001010600","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010600",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","14694954","14524028","106","Census Tract 106","S","+41.6995108","-069.9561701","CT",,3134,3012,2859,68,2,22,0,12,49,122,20,4,0,1,0,66,31
"G2500010010700","2020","MA","1400000US25001010700","25001010700","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010700",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","27186449","29106036","107","Census Tract 107","S","+41.6185172","-069.9812765","CT",,3460,3374,3189,73,2,28,0,14,68,86,25,9,6,0,0,19,27
"G2500010010800","2020","MA","1400000US25001010800","25001010800","1","1","Massachusetts","25","Barnstable County","001",,,,,,,"010800",,,,,,,,,,,"12700","1","148","99999",,,,,,,,,,,,,,,,,,"01301","28389039","2733769","108","Census Tract 108","S","+41.7434889","-070.1009106","CT",,4919,4824,4604,33,4,44,2,17,120,95,22,0,3,0,0,19,51
